image,predicted_identity,match_score,label
009_frontal_blurred.jpg,009_frontal,0.9999,1
009_frontal_foggy.jpg,009_frontal,0.9123,1
009_frontal_lowlight.jpg,017_frontal,0.8983,0
009_frontal_noisy.jpg,009_frontal,0.9665,1
009_frontal_rainy.jpg,009_frontal,0.9594,1
009_frontal_resized.jpg,009_frontal,1.0,1
009_frontal_sunny.jpg,070_frontal,0.8113,0
017_frontal_blurred.jpg,017_frontal,0.9999,1
017_frontal_foggy.jpg,108_frontal,0.8932,0
017_frontal_lowlight.jpg,017_frontal,0.8888,1
017_frontal_noisy.jpg,017_frontal,0.9927,1
017_frontal_rainy.jpg,017_frontal,0.9676,1
017_frontal_resized.jpg,017_frontal,1.0,1
017_frontal_sunny.jpg,017_frontal,0.9042,1
018_frontal_blurred.jpg,018_frontal,0.9996,1
018_frontal_foggy.jpg,108_frontal,0.8501,0
018_frontal_lowlight.jpg,017_frontal,0.8498,0
018_frontal_noisy.jpg,018_frontal,0.9566,1
018_frontal_rainy.jpg,018_frontal,0.9173,1
018_frontal_resized.jpg,018_frontal,1.0,1
018_frontal_sunny.jpg,017_frontal,0.7399,0
023_frontal_blurred.jpg,023_frontal,0.9999,1
023_frontal_foggy.jpg,105_frontal,0.8561,0
023_frontal_lowlight.jpg,017_frontal,0.867,0
023_frontal_noisy.jpg,112_frontal,0.9039,0
023_frontal_rainy.jpg,112_frontal,0.9085,0
023_frontal_resized.jpg,023_frontal,1.0,1
023_frontal_sunny.jpg,017_frontal,0.7647,0
024_frontal_blurred.jpg,024_frontal,0.9999,1
024_frontal_foggy.jpg,041_frontal,0.8173,0
024_frontal_lowlight.jpg,041_frontal,0.8102,0
024_frontal_noisy.jpg,024_frontal,0.9681,1
024_frontal_rainy.jpg,024_frontal,0.9548,1
024_frontal_resized.jpg,024_frontal,1.0,1
024_frontal_sunny.jpg,017_frontal,0.5439,0
033_frontal_blurred.jpg,033_frontal,0.9999,1
033_frontal_foggy.jpg,033_frontal,0.9036,1
033_frontal_lowlight.jpg,112_frontal,0.8847,0
033_frontal_noisy.jpg,033_frontal,0.9567,1
033_frontal_rainy.jpg,033_frontal,0.9133,1
033_frontal_resized.jpg,033_frontal,1.0,1
033_frontal_sunny.jpg,017_frontal,0.6763,0
034_frontal_blurred.jpg,034_frontal,1.0,1
034_frontal_foggy.jpg,034_frontal,0.8416,1
034_frontal_lowlight.jpg,017_frontal,0.7871,0
034_frontal_noisy.jpg,034_frontal,0.9502,1
034_frontal_rainy.jpg,034_frontal,0.8823,1
034_frontal_resized.jpg,034_frontal,1.0,1
034_frontal_sunny.jpg,017_frontal,0.6408,0
037_frontal_blurred.jpg,037_frontal,0.9999,1
037_frontal_foggy.jpg,049_frontal,0.7146,0
037_frontal_lowlight.jpg,017_frontal,0.7806,0
037_frontal_noisy.jpg,037_frontal,0.9368,1
037_frontal_rainy.jpg,037_frontal,0.868,1
037_frontal_resized.jpg,037_frontal,1.0,1
037_frontal_sunny.jpg,049_frontal,0.7556,0
041_frontal_blurred.jpg,041_frontal,0.9999,1
041_frontal_foggy.jpg,017_frontal,0.8872,0
041_frontal_lowlight.jpg,017_frontal,0.8985,0
041_frontal_noisy.jpg,041_frontal,0.965,1
041_frontal_rainy.jpg,041_frontal,0.936,1
041_frontal_resized.jpg,041_frontal,1.0,1
041_frontal_sunny.jpg,017_frontal,0.8138,0
046_frontal_blurred.jpg,046_frontal,0.9999,1
046_frontal_foggy.jpg,046_frontal,0.9098,1
046_frontal_lowlight.jpg,046_frontal,0.7593,1
046_frontal_noisy.jpg,046_frontal,0.9625,1
046_frontal_rainy.jpg,046_frontal,0.9493,1
046_frontal_resized.jpg,046_frontal,1.0,1
046_frontal_sunny.jpg,017_frontal,0.5109,0
